ordinal,frameId,frameName,nodeId,nodeName,adjacentText,ancestorNames,ancestorIds,family,icon,style,fills,svg,geometryKey
913,h68qF,8A. Git · Branches · Desktop light,tZRqN,New task icon,GitHub,8A. Git · Branches · Desktop light > Shared project navigation > Expanded project and session navigation > Project destinations > GitHub,h68qF/zFtRv/OP2By/X1Nlc6/k0oRA,lucide,github,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-github-357f9b03fe86.svg,lucide/github/357f9b03fe86
914,h68qF,8A. Git · Branches · Desktop light,tZRqN,New task icon,Skills,8A. Git · Branches · Desktop light > Shared project navigation > Expanded project and session navigation > Project destinations > Skills,h68qF/zFtRv/OP2By/X1Nlc6/nuHSs,lucide,sparkles,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-sparkles-34b3b72da68a.svg,lucide/sparkles/34b3b72da68a
915,h68qF,8A. Git · Branches · Desktop light,tZRqN,New task icon,Workflows,8A. Git · Branches · Desktop light > Shared project navigation > Expanded project and session navigation > Project destinations > Workflows,h68qF/zFtRv/OP2By/X1Nlc6/CHKpB,lucide,workflow,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-workflow-8a89b4882c44.svg,lucide/workflow/8a89b4882c44
916,h68qF,8A. Git · Branches · Desktop light,tZRqN,New task icon,Settings,8A. Git · Branches · Desktop light > Shared project navigation > Expanded project and session navigation > Project destinations > Settings,h68qF/zFtRv/OP2By/X1Nlc6/CcnMu,lucide,settings,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#667084,icons/lucide-settings-6f5239928ba5.svg,lucide/settings/6f5239928ba5
917,h68qF,8A. Git · Branches · Desktop light,cOCez,Session status,Fixing finalization failure Parent · Done #217,8A. Git · Branches · Desktop light > Shared project navigation > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session,h68qF/zFtRv/OP2By/qDFcK/z4zFw,Material Symbols Rounded,circle,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#187447,icons/material-symbols-rounded-circle-e3a67b1f3af8.svg,Material Symbols Rounded/circle/e3a67b1f3af8
918,h68qF,8A. Git · Branches · Desktop light,r3iXr,Reference status glyph,#217,8A. Git · Branches · Desktop light > Shared project navigation > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session > Session labels > Optional tracker reference line > Optional PR or issue,h68qF/zFtRv/OP2By/qDFcK/z4zFw/F88dJ/HPxph/zfD1m,lucide,git-merge,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#6D28D9,icons/lucide-git-merge-f64349b9dbe0.svg,lucide/git-merge/f64349b9dbe0
919,h68qF,8A. Git · Branches · Desktop light,cOCez,Session status,Implementation worker Worker · Done,8A. Git · Branches · Desktop light > Shared project navigation > Expanded project and session navigation > Navigation / Parent and worker sessions > Workers belonging to audit > Worker hierarchy guide > Audit worker,h68qF/zFtRv/OP2By/qDFcK/E5FWJ/tVXld/bTWrG,Material Symbols Rounded,circle,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#187447,icons/material-symbols-rounded-circle-e3a67b1f3af8.svg,Material Symbols Rounded/circle/e3a67b1f3af8
920,h68qF,8A. Git · Branches · Desktop light,cOCez,Session status,Planning CI follow-up Parent · Running,8A. Git · Branches · Desktop light > Shared project navigation > Expanded project and session navigation > Navigation / Parent and worker sessions > Delegated worker parent,h68qF/zFtRv/OP2By/qDFcK/xJrri,Material Symbols Rounded,circle,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#6D28D9,icons/material-symbols-rounded-circle-e3a67b1f3af8.svg,Material Symbols Rounded/circle/e3a67b1f3af8
921,h68qF,8A. Git · Branches · Desktop light,cOCez,Session status,CI regression checks Worker · Needs review #219,8A. Git · Branches · Desktop light > Shared project navigation > Expanded project and session navigation > Navigation / Parent and worker sessions > Workers belonging to delegated setup > Worker hierarchy guide > Worker with PR example,h68qF/zFtRv/OP2By/qDFcK/dcZPW/CtBMx/ynL0t,Material Symbols Rounded,circle,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#6D28D9,icons/material-symbols-rounded-circle-e3a67b1f3af8.svg,Material Symbols Rounded/circle/e3a67b1f3af8
922,h68qF,8A. Git · Branches · Desktop light,r3iXr,Reference status glyph,#219,8A. Git · Branches · Desktop light > Shared project navigation > Expanded project and session navigation > Navigation / Parent and worker sessions > Workers belonging to delegated setup > Worker hierarchy guide > Worker with PR example > Session labels > Optional tracker reference line > Optional PR or issue,h68qF/zFtRv/OP2By/qDFcK/dcZPW/CtBMx/ynL0t/F88dJ/HPxph/zfD1m,lucide,git-pull-request,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#6D28D9,icons/lucide-git-pull-request-9ff25470d22f.svg,lucide/git-pull-request/9ff25470d22f
923,h68qF,8A. Git · Branches · Desktop light,f4huG,Expand project,hearsay-local-architect main,8A. Git · Branches · Desktop light > Shared project navigation > Expanded project and session navigation > hearsay-local-architect collapsed,h68qF/zFtRv/OP2By/ucDW7,lucide,chevron-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-chevron-right-cee1458c0dd0.svg,lucide/chevron-right/cee1458c0dd0
924,h68qF,8A. Git · Branches · Desktop light,f4huG,Expand project,earwitness main,8A. Git · Branches · Desktop light > Shared project navigation > Expanded project and session navigation > earwitness collapsed,h68qF/zFtRv/OP2By/rizuB,lucide,chevron-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-chevron-right-cee1458c0dd0.svg,lucide/chevron-right/cee1458c0dd0
925,h68qF,8A. Git · Branches · Desktop light,f4huG,Expand project,dev-toolkit main,8A. Git · Branches · Desktop light > Shared project navigation > Expanded project and session navigation > dev-toolkit collapsed,h68qF/zFtRv/OP2By/XhhVY,lucide,chevron-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-chevron-right-cee1458c0dd0.svg,lucide/chevron-right/cee1458c0dd0
926,h68qF,8A. Git · Branches · Desktop light,tZRqN,New task icon,Global settings,8A. Git · Branches · Desktop light > Shared project navigation > Global settings navigation,h68qF/zFtRv/Zbj5V,lucide,settings-2,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#667084,icons/lucide-settings-2-1cc665612c4e.svg,lucide/settings-2/1cc665612c4e
927,h68qF,8A. Git · Branches · Desktop light,a8CdMw,Local execution,Your agents. Your machine.,8A. Git · Branches · Desktop light > Shared project navigation > Local workspace status,h68qF/zFtRv/EBZYk,lucide,monitor,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-monitor-8d25db114b57.svg,lucide/monitor/8d25db114b57
928,h68qF,8A. Git · Branches · Desktop light,afg6q,Project folder,cezar / Git · Branches main,8A. Git · Branches · Desktop light > Page workspace > Shared page breadcrumb,h68qF/sm6gS/lISDJ,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68
929,h68qF,8A. Git · Branches · Desktop light,wNg1i,Isolated worktree indicator,cezar / Git · Branches main,8A. Git · Branches · Desktop light > Page workspace > Shared page breadcrumb,h68qF/sm6gS/lISDJ,lucide,shield-check,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#6D28D9,icons/lucide-shield-check-588013874c94.svg,lucide/shield-check/588013874c94
930,h68qF,8A. Git · Branches · Desktop light,pbEXQ,Action icon,main,8A. Git · Branches · Desktop light > Page workspace > Page content > Repository controls > main,h68qF/sm6gS/Cvrho/FaQbm/ZSrHf,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96
931,h68qF,8A. Git · Branches · Desktop light,pbEXQ,Action icon,Pull,8A. Git · Branches · Desktop light > Page workspace > Page content > Repository controls > Pull,h68qF/sm6gS/Cvrho/FaQbm/LOwIx,lucide,git-pull-request,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#0F172A,icons/lucide-git-pull-request-9ff25470d22f.svg,lucide/git-pull-request/9ff25470d22f
932,h68qF,8A. Git · Branches · Desktop light,g5BkY,Filter branches…,Filter branches…,8A. Git · Branches · Desktop light > Page workspace > Page content > Branch management > Branches > Filter branches…,h68qF/sm6gS/Cvrho/e1omyk/PUUn3/crIbw,lucide,search,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-search-97566fb629e3.svg,lucide/search/97566fb629e3
933,h68qF,8A. Git · Branches · Desktop light,pbEXQ,Action icon,Switch,8A. Git · Branches · Desktop light > Page workspace > Page content > Branch management > Branches > bench/156-combined-shards > Switch,h68qF/sm6gS/Cvrho/e1omyk/PUUn3/A6Dhi/VWgOY,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96
934,h68qF,8A. Git · Branches · Desktop light,pbEXQ,Action icon,Switch,8A. Git · Branches · Desktop light > Page workspace > Page content > Branch management > Branches > bench/156-rebalance-optimized > Switch,h68qF/sm6gS/Cvrho/e1omyk/PUUn3/jTozq/QKHf0,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96
935,h68qF,8A. Git · Branches · Desktop light,pbEXQ,Action icon,Switch,8A. Git · Branches · Desktop light > Page workspace > Page content > Branch management > Branches > ci/automated-pr-review > Switch,h68qF/sm6gS/Cvrho/e1omyk/PUUn3/xcton/aBHjE,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96
936,h68qF,8A. Git · Branches · Desktop light,pbEXQ,Action icon,Switch,8A. Git · Branches · Desktop light > Page workspace > Page content > Branch management > Branches > feat/complete-worker-delegation > Switch,h68qF/sm6gS/Cvrho/e1omyk/PUUn3/kyJ00/gXjYN,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96
937,h68qF,8A. Git · Branches · Desktop light,pbEXQ,Action icon,Switch,8A. Git · Branches · Desktop light > Page workspace > Page content > Branch management > Branches > feat/detect-recurring-ci-failures > Switch,h68qF/sm6gS/Cvrho/e1omyk/PUUn3/RVESR/hQ2et,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96
938,h68qF,8A. Git · Branches · Desktop light,pbEXQ,Action icon,Create branch,8A. Git · Branches · Desktop light > Page workspace > Page content > Branch management > Base branch and creation > Create branch,h68qF/sm6gS/Cvrho/e1omyk/j8UE4/o7ISZ6,lucide,plus,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#0F172A,icons/lucide-plus-5d291bcb8254.svg,lucide/plus/5d291bcb8254
939,h3xWP,8C. Git · Branches · Mobile light,gf66U,Open navigation,Cezarion cezar,8C. Git · Branches · Mobile light > Shared mobile header,h3xWP/qeLrt,lucide,menu,box-sizing: border-box; flex-shrink: 0; height: 20px; width: 20px,#667084,icons/lucide-menu-fdc199b4cb7c.svg,lucide/menu/fdc199b4cb7c
940,h3xWP,8C. Git · Branches · Mobile light,SH3C0,Project,cezar,8C. Git · Branches · Mobile light > Shared mobile header > Project picker,h3xWP/qeLrt/EnJ2c,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68
941,h3xWP,8C. Git · Branches · Mobile light,o1HvGa,Change project,cezar,8C. Git · Branches · Mobile light > Shared mobile header > Project picker,h3xWP/qeLrt/EnJ2c,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0
942,h3xWP,8C. Git · Branches · Mobile light,pbEXQ,Action icon,main,8C. Git · Branches · Mobile light > Page content > Repository controls > main,h3xWP/T4woW/H7RCqJ/xQMRo,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96
943,h3xWP,8C. Git · Branches · Mobile light,pbEXQ,Action icon,Pull,8C. Git · Branches · Mobile light > Page content > Repository controls > Pull,h3xWP/T4woW/H7RCqJ/QX96L,lucide,git-pull-request,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#0F172A,icons/lucide-git-pull-request-9ff25470d22f.svg,lucide/git-pull-request/9ff25470d22f
944,h3xWP,8C. Git · Branches · Mobile light,TRQcD,Filter branches…,Filter branches…,8C. Git · Branches · Mobile light > Page content > Branch management > Branches > Filter branches…,h3xWP/T4woW/z4MKB/c1xiJh/CNBsx,lucide,search,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#667084,icons/lucide-search-97566fb629e3.svg,lucide/search/97566fb629e3
945,h3xWP,8C. Git · Branches · Mobile light,pbEXQ,Action icon,Switch,8C. Git · Branches · Mobile light > Page content > Branch management > Branches > bench/156-combined-shards > Switch,h3xWP/T4woW/z4MKB/c1xiJh/d8M2y/uqnsK,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96
946,h3xWP,8C. Git · Branches · Mobile light,pbEXQ,Action icon,Switch,8C. Git · Branches · Mobile light > Page content > Branch management > Branches > bench/156-rebalance-optimized > Switch,h3xWP/T4woW/z4MKB/c1xiJh/w3MVz/w4eTe,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96
947,h3xWP,8C. Git · Branches · Mobile light,pbEXQ,Action icon,Switch,8C. Git · Branches · Mobile light > Page content > Branch management > Branches > ci/automated-pr-review > Switch,h3xWP/T4woW/z4MKB/c1xiJh/TOosM/TWir5,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96
948,h3xWP,8C. Git · Branches · Mobile light,pbEXQ,Action icon,Switch,8C. Git · Branches · Mobile light > Page content > Branch management > Branches > feat/complete-worker-delegation > Switch,h3xWP/T4woW/z4MKB/c1xiJh/uD3se/zP1Lk,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96
949,h3xWP,8C. Git · Branches · Mobile light,pbEXQ,Action icon,Switch,8C. Git · Branches · Mobile light > Page content > Branch management > Branches > feat/detect-recurring-ci-failures > Switch,h3xWP/T4woW/z4MKB/c1xiJh/AjIbd/q3eoG,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#4B5566,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96
950,h3xWP,8C. Git · Branches · Mobile light,pbEXQ,Action icon,Create branch,8C. Git · Branches · Mobile light > Page content > Branch management > Base branch and creation > Create branch,h3xWP/T4woW/z4MKB/Qe4fU/coT8d,lucide,plus,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#0F172A,icons/lucide-plus-5d291bcb8254.svg,lucide/plus/5d291bcb8254
951,lfmHq,8B. Git · Branches · Desktop dark,cgB89,Search,Search… ⌘K,8B. Git · Branches · Desktop dark > Shared project navigation > Search tasks,lfmHq/A5ZMFq/ybjGr,lucide,search,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-search-97566fb629e3.svg,lucide/search/97566fb629e3
952,lfmHq,8B. Git · Branches · Desktop dark,tZRqN,New task icon,New task,8B. Git · Branches · Desktop dark > Shared project navigation > Workspace links > New task,lfmHq/A5ZMFq/bb25v/qc4mQ,lucide,plus,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#8992A6,icons/lucide-plus-5d291bcb8254.svg,lucide/plus/5d291bcb8254
953,lfmHq,8B. Git · Branches · Desktop dark,tZRqN,New task icon,All tasks,8B. Git · Branches · Desktop dark > Shared project navigation > Workspace links > All tasks,lfmHq/A5ZMFq/bb25v/w9L9KD,lucide,layers,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#8992A6,icons/lucide-layers-bcddb17470e3.svg,lucide/layers/bcddb17470e3
954,lfmHq,8B. Git · Branches · Desktop dark,f4huG,Expand project,cezar main,8B. Git · Branches · Desktop dark > Shared project navigation > Expanded project and session navigation > iac expanded,lfmHq/A5ZMFq/OP2By/FbK2w,lucide,chevron-down,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-chevron-down-96bc4c16a8d0.svg,lucide/chevron-down/96bc4c16a8d0
955,lfmHq,8B. Git · Branches · Desktop dark,tZRqN,New task icon,Tasks,8B. Git · Branches · Desktop dark > Shared project navigation > Expanded project and session navigation > Project destinations > Tasks,lfmHq/A5ZMFq/OP2By/X1Nlc6/OX1gU,lucide,list-todo,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-list-todo-90fea884f26c.svg,lucide/list-todo/90fea884f26c
956,lfmHq,8B. Git · Branches · Desktop dark,tZRqN,New task icon,Git,8B. Git · Branches · Desktop dark > Shared project navigation > Expanded project and session navigation > Project destinations > Git,lfmHq/A5ZMFq/OP2By/X1Nlc6/EnvoZ,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96
957,lfmHq,8B. Git · Branches · Desktop dark,tZRqN,New task icon,GitHub,8B. Git · Branches · Desktop dark > Shared project navigation > Expanded project and session navigation > Project destinations > GitHub,lfmHq/A5ZMFq/OP2By/X1Nlc6/k0oRA,lucide,github,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-github-357f9b03fe86.svg,lucide/github/357f9b03fe86
958,lfmHq,8B. Git · Branches · Desktop dark,tZRqN,New task icon,Skills,8B. Git · Branches · Desktop dark > Shared project navigation > Expanded project and session navigation > Project destinations > Skills,lfmHq/A5ZMFq/OP2By/X1Nlc6/nuHSs,lucide,sparkles,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-sparkles-34b3b72da68a.svg,lucide/sparkles/34b3b72da68a
959,lfmHq,8B. Git · Branches · Desktop dark,tZRqN,New task icon,Workflows,8B. Git · Branches · Desktop dark > Shared project navigation > Expanded project and session navigation > Project destinations > Workflows,lfmHq/A5ZMFq/OP2By/X1Nlc6/CHKpB,lucide,workflow,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-workflow-8a89b4882c44.svg,lucide/workflow/8a89b4882c44
960,lfmHq,8B. Git · Branches · Desktop dark,tZRqN,New task icon,Settings,8B. Git · Branches · Desktop dark > Shared project navigation > Expanded project and session navigation > Project destinations > Settings,lfmHq/A5ZMFq/OP2By/X1Nlc6/CcnMu,lucide,settings,box-sizing: border-box; flex-shrink: 0; height: 15px; width: 15px,#8992A6,icons/lucide-settings-6f5239928ba5.svg,lucide/settings/6f5239928ba5
961,lfmHq,8B. Git · Branches · Desktop dark,cOCez,Session status,Fixing finalization failure Parent · Done #217,8B. Git · Branches · Desktop dark > Shared project navigation > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session,lfmHq/A5ZMFq/OP2By/qDFcK/z4zFw,Material Symbols Rounded,circle,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#74D5A1,icons/material-symbols-rounded-circle-e3a67b1f3af8.svg,Material Symbols Rounded/circle/e3a67b1f3af8
962,lfmHq,8B. Git · Branches · Desktop dark,r3iXr,Reference status glyph,#217,8B. Git · Branches · Desktop dark > Shared project navigation > Expanded project and session navigation > Navigation / Parent and worker sessions > Selected parent session > Session labels > Optional tracker reference line > Optional PR or issue,lfmHq/A5ZMFq/OP2By/qDFcK/z4zFw/F88dJ/HPxph/zfD1m,lucide,git-merge,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#D7BDFF,icons/lucide-git-merge-f64349b9dbe0.svg,lucide/git-merge/f64349b9dbe0
963,lfmHq,8B. Git · Branches · Desktop dark,cOCez,Session status,Implementation worker Worker · Done,8B. Git · Branches · Desktop dark > Shared project navigation > Expanded project and session navigation > Navigation / Parent and worker sessions > Workers belonging to audit > Worker hierarchy guide > Audit worker,lfmHq/A5ZMFq/OP2By/qDFcK/E5FWJ/tVXld/bTWrG,Material Symbols Rounded,circle,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#74D5A1,icons/material-symbols-rounded-circle-e3a67b1f3af8.svg,Material Symbols Rounded/circle/e3a67b1f3af8
964,lfmHq,8B. Git · Branches · Desktop dark,cOCez,Session status,Planning CI follow-up Parent · Running,8B. Git · Branches · Desktop dark > Shared project navigation > Expanded project and session navigation > Navigation / Parent and worker sessions > Delegated worker parent,lfmHq/A5ZMFq/OP2By/qDFcK/xJrri,Material Symbols Rounded,circle,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#D7BDFF,icons/material-symbols-rounded-circle-e3a67b1f3af8.svg,Material Symbols Rounded/circle/e3a67b1f3af8
965,lfmHq,8B. Git · Branches · Desktop dark,cOCez,Session status,CI regression checks Worker · Needs review #219,8B. Git · Branches · Desktop dark > Shared project navigation > Expanded project and session navigation > Navigation / Parent and worker sessions > Workers belonging to delegated setup > Worker hierarchy guide > Worker with PR example,lfmHq/A5ZMFq/OP2By/qDFcK/dcZPW/CtBMx/ynL0t,Material Symbols Rounded,circle,box-sizing: border-box; flex-shrink: 0; height: 10px; width: 10px,#D7BDFF,icons/material-symbols-rounded-circle-e3a67b1f3af8.svg,Material Symbols Rounded/circle/e3a67b1f3af8
966,lfmHq,8B. Git · Branches · Desktop dark,r3iXr,Reference status glyph,#219,8B. Git · Branches · Desktop dark > Shared project navigation > Expanded project and session navigation > Navigation / Parent and worker sessions > Workers belonging to delegated setup > Worker hierarchy guide > Worker with PR example > Session labels > Optional tracker reference line > Optional PR or issue,lfmHq/A5ZMFq/OP2By/qDFcK/dcZPW/CtBMx/ynL0t/F88dJ/HPxph/zfD1m,lucide,git-pull-request,box-sizing: border-box; flex-shrink: 0; height: 12px; width: 12px,#D7BDFF,icons/lucide-git-pull-request-9ff25470d22f.svg,lucide/git-pull-request/9ff25470d22f
967,lfmHq,8B. Git · Branches · Desktop dark,f4huG,Expand project,hearsay-local-architect main,8B. Git · Branches · Desktop dark > Shared project navigation > Expanded project and session navigation > hearsay-local-architect collapsed,lfmHq/A5ZMFq/OP2By/ucDW7,lucide,chevron-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-chevron-right-cee1458c0dd0.svg,lucide/chevron-right/cee1458c0dd0
968,lfmHq,8B. Git · Branches · Desktop dark,f4huG,Expand project,earwitness main,8B. Git · Branches · Desktop dark > Shared project navigation > Expanded project and session navigation > earwitness collapsed,lfmHq/A5ZMFq/OP2By/rizuB,lucide,chevron-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-chevron-right-cee1458c0dd0.svg,lucide/chevron-right/cee1458c0dd0
969,lfmHq,8B. Git · Branches · Desktop dark,f4huG,Expand project,dev-toolkit main,8B. Git · Branches · Desktop dark > Shared project navigation > Expanded project and session navigation > dev-toolkit collapsed,lfmHq/A5ZMFq/OP2By/XhhVY,lucide,chevron-right,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-chevron-right-cee1458c0dd0.svg,lucide/chevron-right/cee1458c0dd0
970,lfmHq,8B. Git · Branches · Desktop dark,tZRqN,New task icon,Global settings,8B. Git · Branches · Desktop dark > Shared project navigation > Global settings navigation,lfmHq/A5ZMFq/Zbj5V,lucide,settings-2,box-sizing: border-box; flex-shrink: 0; height: 18px; width: 18px,#8992A6,icons/lucide-settings-2-1cc665612c4e.svg,lucide/settings-2/1cc665612c4e
971,lfmHq,8B. Git · Branches · Desktop dark,a8CdMw,Local execution,Your agents. Your machine.,8B. Git · Branches · Desktop dark > Shared project navigation > Local workspace status,lfmHq/A5ZMFq/EBZYk,lucide,monitor,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-monitor-8d25db114b57.svg,lucide/monitor/8d25db114b57
972,lfmHq,8B. Git · Branches · Desktop dark,afg6q,Project folder,cezar / Git · Branches main,8B. Git · Branches · Desktop dark > Page workspace > Shared page breadcrumb,lfmHq/exbON/l0Q3ZF,lucide,folder,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-folder-2492d9f6fc68.svg,lucide/folder/2492d9f6fc68
973,lfmHq,8B. Git · Branches · Desktop dark,wNg1i,Isolated worktree indicator,cezar / Git · Branches main,8B. Git · Branches · Desktop dark > Page workspace > Shared page breadcrumb,lfmHq/exbON/l0Q3ZF,lucide,shield-check,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#D7BDFF,icons/lucide-shield-check-588013874c94.svg,lucide/shield-check/588013874c94
974,lfmHq,8B. Git · Branches · Desktop dark,pbEXQ,Action icon,main,8B. Git · Branches · Desktop dark > Page workspace > Page content > Repository controls > main,lfmHq/exbON/C9dRMU/h4q2F/bCzW3,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96
975,lfmHq,8B. Git · Branches · Desktop dark,pbEXQ,Action icon,Pull,8B. Git · Branches · Desktop dark > Page workspace > Page content > Repository controls > Pull,lfmHq/exbON/C9dRMU/h4q2F/w6gHYy,lucide,git-pull-request,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#0F172A,icons/lucide-git-pull-request-9ff25470d22f.svg,lucide/git-pull-request/9ff25470d22f
976,lfmHq,8B. Git · Branches · Desktop dark,k1Yag2,Filter branches…,Filter branches…,8B. Git · Branches · Desktop dark > Page workspace > Page content > Branch management > Branches > Filter branches…,lfmHq/exbON/C9dRMU/AKgKI/Yx4yH/c3Egs,lucide,search,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#8992A6,icons/lucide-search-97566fb629e3.svg,lucide/search/97566fb629e3
977,lfmHq,8B. Git · Branches · Desktop dark,pbEXQ,Action icon,Switch,8B. Git · Branches · Desktop dark > Page workspace > Page content > Branch management > Branches > bench/156-combined-shards > Switch,lfmHq/exbON/C9dRMU/AKgKI/Yx4yH/p5qvII/NFI8u,lucide,git-branch,box-sizing: border-box; flex-shrink: 0; height: 16px; width: 16px,#AFB5C5,icons/lucide-git-branch-cb2e993ccf96.svg,lucide/git-branch/cb2e993ccf96
